r2_score,adjusted_r2,mae,mse,rmse,pearson_r,model
0.651663810678849,0.651663810678849,0.055357308245978336,0.004691367738182196,0.06849355982997377,0.8565296453032197,DecisionTree_regression
0.8191990830473107,0.8191990830473107,0.04126092876534984,0.0024350142615919756,0.049345863672571134,0.9111933197494437,kNN_regression
0.9177919510808338,0.9177919510808338,0.027881648228857213,0.0011071723247299777,0.03327419908472596,0.9658115981892229,Lasso_regression
0.7840222573538413,0.7840222573538413,0.04549147044436016,0.0029087733203668094,0.0539330447904326,0.910280931204039,Linear_regression
0.2536891587247114,0.2536891587247114,0.06615926675054794,0.010051262862574782,0.10025598666700548,0.7716102450097052,MLP_regression
0.8492336685441758,0.8492336685441758,0.031226873402240115,0.002030510538610265,0.0450611866089905,0.9337810786468072,Polynomial_regression
0.941187418303549,0.941187418303549,0.022237356334208574,0.0007920837881003409,0.028143983159821938,0.9784185573533427,RandomForest_regression
0.9175822485836279,0.9175822485836279,0.023408485754060106,0.0011099965834781864,0.03331661122440556,0.9631088699349969,Ridge_regression
0.7320312619658071,0.7320312619658071,0.04669802624321065,0.0036089844552326437,0.060074823805256757,0.9265207634073145,SVM_regression
0.9524532486887959,0.9524532486887959,0.018051590326420446,0.0006403563626032098,0.02530526353554157,0.9799670830076881,XGBoost_regression
