STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
43,Puerto Rico,430001,0,0,2,2,0,2,2,75,JUANA DIAZ (75),530,JUANA DIAZ,1,January,3,3,1,Sunday,2021,17,5:00pm-5:59pm,12,12,CR-149,,4,County Road,1,Rural,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,708,708,18.02368333,18.02368333,-66.50433611,-66.50433611,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430002,0,0,1,1,0,1,1,21,BAYAMON (21),140,BAYAMON,1,January,6,6,4,Wednesday,2021,18,6:00pm-6:59pm,10,10,CR-5,,4,County Road,1,Rural,3,Principal Arterial - Other,2,County Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,18.366025,18.366025,-66.16886944,-66.16886944,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,6,Off Roadway-Location Unknown,0,None,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,18,6:00pm-6:59pm,30,30,18,6:00pm-6:59pm,40,40,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430003,0,0,2,2,0,2,2,25,CAGUAS (25),170,CAGUAS,1,January,7,7,5,Thursday,2021,16,4:00pm-4:59pm,24,24,CR-TROCHE AVE,,4,County Road,2,Urban,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,18.23446111,18.23446111,-66.02811111,-66.02811111,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0,Not Applicable,16,4:00pm-4:59pm,25,25,16,4:00pm-4:59pm,28,28,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430004,2,2,1,1,0,1,1,79,LAJAS (79),550,LAJAS,1,January,8,8,6,Friday,2021,6,6:00am-6:59am,20,20,CR-101,,4,County Road,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,126,126,18.04701111,18.04701111,-67.06950556,-67.06950556,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430005,1,1,1,1,0,1,1,139,TRUJILLO ALTO (139),990,TRUJILLO ALTO,1,January,8,8,6,Friday,2021,6,6:00am-6:59am,28,28,CR-199,,4,County Road,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,145,145,18.36832222,18.36832222,-66.02369444,-66.02369444,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,6,6:00am-6:59am,30,30,6,6:00am-6:59am,35,35,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430006,1,1,2,2,0,2,2,31,CAROLINA (31),200,CAROLINA,1,January,9,9,7,Saturday,2021,20,8:00pm-8:59pm,41,41,CR-MONSERRATE AVE,INT SANCHEZ OSORIO AVE,4,County Road,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,18.40647222,18.40647222,-65.97768056,-65.97768056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430007,0,0,2,2,0,2,2,105,NARANJITO (105),700,NARANJITO,1,January,9,9,7,Saturday,2021,21,9:00pm-9:59pm,38,38,CR-152,,4,County Road,1,Rural,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,103,103,18.24716667,18.24716667,-66.28306667,-66.28306667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,21,9:00pm-9:59pm,28,28,22,10:00pm-10:59pm,0,0,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430008,0,0,2,2,0,2,2,69,HUMACAO (69),500,HUMACAO,1,January,10,10,1,Sunday,2021,11,11:00am-11:59am,0,0,I-53,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,330,330,18.13004722,18.13004722,-65.812825,-65.812825,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0,Not Applicable,11,11:00am-11:59am,0,0,11,11:00am-11:59am,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430009,1,1,1,1,0,1,1,91,MANATI (91),620,MANATI,1,January,11,11,2,Monday,2021,8,8:00am-8:59am,2,2,CR-685,,4,County Road,2,Urban,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,4,4,18.432025,18.432025,-66.49563056,-66.49563056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
43,Puerto Rico,430010,1,1,1,1,0,1,1,141,UTUADO (141),1000,UTUADO,1,January,12,12,3,Tuesday,2021,20,8:00pm-8:59pm,44,44,CR-111,,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,506,506,18.26903611,18.26903611,-66.69833056,-66.69833056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,20,8:00pm-8:59pm,50,50,21,9:00pm-9:59pm,0,0,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
